id,name,description,ruling,reason,variations
e214,Ethylparaben,A preservative used in food and cosmetic products.,uncertain,The ruling is uncertain due to conflicting opinions regarding the source and processing of the ingredient.,"['e214', 'ethyl paraben', 'ethylparaben']"
e231,Orthophenylphenol,A fungicide used as a preservative for citrus fruits.,uncertain,The ruling is uncertain due to potential concerns about the ingredients used in its production and whether they are halal-compliant.,"['e231', 'orthophenylphenol', '2-phenylphenol', 'o-phenylphenol']"
e230,Biphenyl,A fungicide used as a preservative for citrus fruits.,uncertain,The ruling is uncertain due to potential concerns about the ingredients used in its production and whether they are halal-compliant.,"['e230', 'biphenyl', 'diphenyl']"
e223,Sodium Metabisulfite,"A preservative, antioxidant, and bleaching agent used in food and beverage production.",halal,Sodium metabisulfite is generally considered halal as it is a synthetic chemical and does not contain any animal-derived ingredients.,"['e223', 'sodium metabisulfite', 'sodium pyrosulfite']"
e233,Thiabendazole,A fungicide used to prevent mold and fungal growth on fruits and vegetables.,uncertain,The ruling is uncertain due to potential concerns about the ingredients used in its production and whether they are halal-compliant.,"['e233', 'thiabendazole']"
e232,Sodium Orthophenylphenate,"A fungicide used as a preservative, especially for citrus fruits.",uncertain,The ruling is uncertain due to potential concerns about the ingredients used in its production and whether they are halal-compliant.,"['e232', 'sodium orthophenylphenate']"
e228,Potassium Bisulfite,A preservative and antioxidant used in the food and beverage industry.,halal,Potassium bisulfite is generally considered halal as it is a synthetic chemical and does not contain any animal-derived ingredients.,"['e228', 'potassium bisulfite']"
e225,Potassium Sulfite,A preservative used in the food and beverage industry.,halal,Potassium sulfite is generally considered halal as it is a synthetic chemical and does not contain any animal-derived ingredients.,"['e225', 'potassium sulfite']"
e227,Calcium Bisulfite,A preservative used in the food and beverage industry.,halal,Calcium bisulfite is generally considered halal as it is a synthetic chemical and does not contain any animal-derived ingredients.,"['e227', 'calcium bisulfite']"
e226,Calcium Sulfite,A preservative used in the food and beverage industry.,halal,Calcium sulfite is generally considered halal as it is a synthetic chemical and does not contain any animal-derived ingredients.,"['e226', 'calcium sulfite']"
e224,Potassium Metabisulfite,A preservative and antioxidant used in the food and beverage industry.,halal,Potassium metabisulfite is generally considered halal as it is a synthetic chemical and does not contain any animal-derived ingredients.,"['e224', 'potassium metabisulfite']"
e234,Nisin,A polycyclic antibacterial peptide produced by Lactococcus lactis used as a food preservative.,halal,Nisin is produced by bacterial fermentation and does not contain any haram substances.,"['nisin', 'e234']"
e238,Calcium Formate,A salt of formic acid used as a preservative in animal feed.,halal,Calcium formate is generally considered halal as it is a salt of formic acid and does not contain any haram substances.,"['calcium-formate', 'e238']"
e237,Sodium Formate,A salt of formic acid used as a preservative and buffering agent.,halal,Sodium formate is generally considered halal as it is a salt of formic acid and does not contain any haram substances.,"['sodium-formate', 'e237']"
e235,Natamycin,A polyene antifungal drug used as a food preservative.,halal,Natamycin is produced by fermentation and does not contain any haram substances.,"['natamycin', 'e235']"
e236,Formic Acid,A naturally occurring organic acid used as a preservative and antibacterial agent.,halal,Formic acid is generally considered halal as it is a naturally occurring organic acid and does not contain any haram substances.,"['formic-acid', 'e236']"
e250,Sodium Nitrite,A salt used as a color fixative and preservative in cured meats and other processed foods.,halal,Sodium nitrite is a synthetic salt and does not contain any haram substances.,"['sodium-nitrite', 'e250']"
e239,Hexamethylene Tetramine,A preservative used in certain types of cheese.,uncertain,"There is conflicting information regarding the halal status of hexamethylene tetramine. Some sources state it is halal, while others suggest uncertainty due to potential manufacturing processes. Further investigation is needed to confirm its halal status.","['hexamethylene-tetramine', 'e239']"
e249,Potassium Nitrite,"A salt used as a preservative and color fixative, especially in cured meats.",halal,Potassium nitrite is a synthetic salt and does not contain any haram substances.,"['potassium-nitrite', 'e249']"
e242,Dimethyl Dicarbonate,"A antimicrobial preservative used in beverages, especially wine and juice.",halal,Dimethyl dicarbonate is a synthetic compound and does not contain any haram substances.,"['dimethyl-dicarbonate', 'e242']"
e240,Formaldehyde,A chemical compound used as a preservative.,uncertain,"Although formaldehyde itself is a simple chemical compound, its use as a food preservative is highly regulated and controversial due to its toxicity. Its halal status is uncertain due to safety concerns and potential haram processing aids used in its production.","['formaldehyde', 'e240']"
e267,Ammonium Acetate,A chemical compound used as a food additive.,halal,Ammonium acetate is produced synthetically and does not contain any haram ingredients.,"['e267', 'ammonium acetate']"
e252,Potassium Nitrate,A preservative used in cured meats.,halal,Potassium nitrate is a mineral salt and is considered halal.,"['e252', 'potassium nitrate']"
sodium-acetate,Sodium Acetates,Sodium acetate is the sodium salt of acetic acid. It is used as a food additive and preservative.,halal,Sodium acetate is generally considered halal as it is a salt of acetic acid and does not contain any haram ingredients.,"['e262', 'sodium acetate', 'sodium acetates', 'sodium diacetate']"
e266,Zinc Acetate,"A zinc salt of acetic acid, used as a dietary supplement and food additive.",halal,Zinc acetate is a chemical compound and is considered halal as it does not contain any haram ingredients.,"['e266', 'zinc acetate']"
potassium-acetate,Potassium Acetate,"A potassium salt of acetic acid, used as a food additive and preservative.",halal,Potassium acetate is generally considered halal as it is a salt of acetic acid and does not contain any haram ingredients.,"['e261', 'potassium acetate']"
ammonium-acetate,Ammonium Acetate,A chemical compound used as a food additive.,halal,Ammonium acetate is produced synthetically and does not contain any haram ingredients.,"['e265', 'ammonium acetate']"
sodium-nitrite,Sodium Nitrite,A salt used as a curing agent and preservative in processed meats.,halal,Sodium nitrite is an inorganic salt and is considered halal.,"['e251', 'sodium nitrite']"
e296,Malic Acid,A dicarboxylic acid that is found in many fruits and vegetables. It is used as a food additive to give a tart or sour taste to foods and beverages.,halal,Malic acid is generally considered halal as it is commonly derived from fruits. Synthetic production is also halal if the source materials are halal.,"['e296', 'malic acid', 'dl-malic acid', 'apple acid']"
e283,Potassium Sorbate,A potassium salt of sorbic acid. It is a widely used preservative in food and beverage products.,halal,Potassium sorbate is a chemical preservative and is considered halal as long as it is not produced using any haram substances.,"['e283', 'potassium sorbate']"
e285,Sodium Tetraborate,"Also known as borax, it is used as a preservative. However, its use in food is restricted in many countries due to toxicity concerns.",uncertain,"The ruling is uncertain due to concerns about its safety and potential toxicity when ingested. While the chemical itself may not be haram, its use in food is questionable.","['e285', 'sodium tetraborate', 'borax']"
e284,Boric Acid,"Used as a preservative and antiseptic. However, its use in food is restricted in many countries due to toxicity concerns.",uncertain,"The ruling is uncertain due to concerns about its safety and potential toxicity when ingested. While the chemical itself may not be haram, its use in food is questionable.","['e284', 'boric acid']"
e270,Lactic Acid,"A natural organic acid produced by bacterial fermentation. It is used as a preservative, flavoring agent, and pH regulator in food products.",halal,"Lactic acid is typically produced through the fermentation of carbohydrates, which is a halal process. However, if whey (derived from non-halal animal sources) is used in the fermentation process, it would be considered uncertain.","['e270', 'lactic acid']"
